Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Collision Type Description,Weather Description,Illumination Description,Street Address,City,State,Precinct,Lat,Long,HarmfulCodes,HarmfulDescriptions,ObjectId,Zip Code,RPA,Weather,IlluACCIDEmination,Collision Type,Reporting Officer,x,y
20180001684,1/1/2018 6:00:00 AM,2,0,0,,N,ANGLE,CLOUDY,DARK - LIGHTED,ANDERSON RD & CREEKVIEW DR,ANTIOCH,TN,SOUTH,36.074,-86.62487,12,MOTOR VEHICLE IN TRANSPORT,65,37013,8979,22,3,4,197056,-9643036.4184,4310808.4411
20180001744,1/1/2018 11:50:00 PM,2,0,0,,N,HEAD-ON,CLEAR,DARK - LIGHTED,DUE WEST AVW & S GRAYCROFT AV,MADISON,TN,MADISO,36.24919,-86.73446,12,MOTOR VEHICLE IN TRANSPORT,66,37115,1799,21,3,2,240979,-9655235.9214,4334963.9277
20180001789,1/2/2018 12:05:00 AM,2,2,0,,N,Front to Rear,CLEAR,DARK - LIGHTED,DICKERSON PKE & DICKERSON PKE ENT RAMP,MADISON,TN,MADISO,36.24196,-86.75708,12,MOTOR VEHICLE IN TRANSPORT,67,37115,2009,21,3,11,151132,-9657753.9683,4333965.974
20180001801,1/2/2018 12:10:00 AM,1,0,0,Y,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLOUDY,DARK - LIGHTED,I24 W EXT RAMP & BRILEY PKWYE,NASHVILLE,TN,MADISO,36.23812,-86.78303,24,GUARDRAIL FACE,68,37207,2012,22,3,0,109550,-9660642.7091,4333435.9781
20180001867,1/2/2018 12:27:00 AM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,HARDING PL & SIDCO DR,NASHVILLE,TN,MIDTOW,36.0821,-86.7617,12,MOTOR VEHICLE IN TRANSPORT,69,37220,8601,21,3,5,909485,-9658268.2644,4311924.0938
20180002033,1/2/2018 1:30:00 AM,2,0,0,,Y,Front to Rear,CLEAR,DARK - LIGHTED,OLD HICKORY BLVD & ANDREW JACKSON WAY,HERMITAGE,TN,HERMIT,36.18097,-86.6066,12,MOTOR VEHICLE IN TRANSPORT,70,37076,9561,21,3,11,807332,-9641002.6113,4325551.2219
20180002069,1/2/2018 1:00:00 AM,1,0,0,Y,Y,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,TUSCULUM RD & LUKER LN,ANTIOCH,TN,SOUTH,36.05393,-86.69121,40,MAIL BOX,71,37013,8713,21,3,0,240943,-9650421.3535,4308044.5965
20180002161,1/2/2018 1:20:00 AM,2,0,0,,Y,ANGLE,CLEAR,DARK - LIGHTED,MILL CREEK WHITTEMORE GRNWY & MILL CREEK,ANTIOCH,TN,SOUTH,36.04242,-86.71165,12,MOTOR VEHICLE IN TRANSPORT,72,37013,8757,21,3,4,256374,-9652696.7238,4306459.8696
20180002191,1/2/2018 1:00:00 AM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - NOT LIGHTED,JACKSONS VIEW RD & JACKSONS VALLEY RD,HERMITAGE,TN,HERMIT,36.18646,-86.60346,14,PARKED MOTOR VEHICLE,73,37076,9559,21,2,5,807332,-9640653.0681,4326308.4053
20180002198,1/2/2018 2:38:00 AM,2,0,0,,N,,,,OLD HICKORY BLVD & HIGHWAY 70S,NASHVILLE,TN,WEST,36.07469,-86.92096,,,74,37221,4901,,,,596389,-9675997.0065,4310903.4737
20180002383,1/2/2018 4:11:00 AM,2,0,0,,N,ANGLE,CLEAR,DARK - NOT LIGHTED,W TRINITY LN & SCRUGGS LN,NASHVILLE,TN,NORTH,36.20695,-86.78219,12,MOTOR VEHICLE IN TRANSPORT,75,37207,3009,21,2,4,524985,-9660549.2007,4329134.8645
20180002412,1/2/2018 4:27:00 AM,1,0,0,,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - NOT LIGHTED,MM 75 2 I 65,BRENTWOOD,TN,MIDTOW,36.0466,-86.77696,7,,76,37027,71040,21,2,0,163667,-9659966.9998,4307035.3561
20180002494,1/2/2018 4:20:00 AM,1,0,0,Y,Y,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - NOT LIGHTED,NOLENSVILLE PKE & OCALA DR,NASHVILLE,TN,MIDTOW,36.05151,-86.71436,34;40,DITCH;MAIL BOX,77,37211,8655,21,2,0,212321,-9652998.3997,4307711.3853
20180002603,1/2/2018 5:59:00 AM,2,0,0,,Y,Front to Rear,CLEAR,DARK - LIGHTED,HAYWOOD LN & ANTIOCH PKE,NASHVILLE,TN,SOUTH,36.07029,-86.68454,12,MOTOR VEHICLE IN TRANSPORT,78,37211,8851,21,3,11,468098,-9649678.8524,4310297.483
20180002714,1/2/2018 6:51:00 AM,1,0,0,,Y,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,PATTON HILL RD & VILLAGE TRL,NASHVILLE,TN,MADISO,36.24857,-86.77254,42,TREE,79,37207,2027,21,3,0,179583,-9659474.9676,4334878.3458
20180002974,1/2/2018 8:45:00 AM,1,1,0,,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,SHADY LN & SKYVIEW DR,NASHVILLE,TN,EAST,36.18117,-86.73133,42;63,TREE;Ran Off Road-Right,80,37206,1233,21,3,0,279198,-9654887.4914,4325578.8051
20180003150,1/2/2018 10:00:00 AM,2,0,0,,Y,Front to Rear,CLEAR,DARK - LIGHTED,709 5TH AVS,NASHVILLE,TN,CENTRA,36.15213,-86.77299,14,PARKED MOTOR VEHICLE,81,37203,4027,21,3,11,191573,-9659525.0614,4321574.4668
20180003471,1/2/2018 12:00:00 PM,1,0,0,,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,MURFREESBORO PKE & OLD MURFREESBORO PKE,NASHVILLE,TN,SOUTH,36.10446,-86.66893,18;34;7,OTHER OBJECT (NOT FIXED);DITCH,82,37217,8849,21,3,0,267339,-9647941.1552,4315004.443
